persona,label,similitud_cosine,similitud_euclidean,similitud_manhattan,similitud_combined
persona_01,1,0.8600951731204987,0.5720571496045042,0.06915632496750844,0.6945898812504013
persona_02,1,0.8366456925868988,0.5529926381763377,0.0628936642090032,0.6741745734259408
persona_03,1,0.7777403593063354,0.5146975757341486,0.05471212291026318,0.6265247005950721
persona_04,1,0.8145696520805359,0.5372784011323276,0.060507620118395916,0.6559760735998594
persona_05,1,0.7965539991855621,0.5257347563325827,0.057373764433229876,0.641390202854435
persona_06,1,0.7136989235877991,0.4830586150985416,0.04874180420760263,0.5780111191030022
persona_07,1,0.7473326772451401,0.4986734215333191,0.05181647435920243,0.6031832802429999
persona_08,1,0.8586183488368988,0.5707713901368694,0.06932737092837002,0.6933351634360371
persona_09,1,0.7722218632698059,0.5116340274057506,0.05494142521088433,0.6223174687046972
persona_10,1,0.8019745647907257,0.5291002327544306,0.058906454117698084,0.6458054541125343
persona_11,1,0.777858555316925,0.5147640131783046,0.05499547165963831,0.6266438843096102
persona_12,1,0.81597700715065,0.5382252762503431,0.06010677996608813,0.6570644651621017
persona_13,1,0.8274718225002289,0.5462301327097159,0.06171252709989978,0.6665233860230421
persona_14,1,0.8142094314098358,0.537037127138998,0.06087025324079404,0.6557238223116804
persona_15,1,0.8098573684692383,0.5341574944862488,0.05964346430092574,0.6521260158575102
persona_16,1,0.8044348359107971,0.5306573810464414,0.058758915605898084,0.6477340074210004
persona_17,1,0.8666716814041138,0.5779401331039928,0.07008518559364232,0.7003935673330303
persona_18,1,0.8204804360866547,0.5413027874330967,0.060244496215270935,0.6607035475034488
persona_19,1,0.7054262757301331,0.47950293531358035,0.048611891502969816,0.5719678351824509
persona_20,1,0.8937329053878784,0.6053368977404775,0.0765934296146808,0.7255001555163384
persona_21,1,0.8041644096374512,0.5304853117663808,0.057781779135418,0.6474224172259267
persona_22,1,0.8262532353401184,0.545357725292382,0.06130307981070794,0.6654895667728564
persona_23,1,0.866718053817749,0.5779825420307476,0.07121445359144081,0.7005470402590177
persona_24,1,0.9335395693778992,0.6598053872492963,0.0971586333064379,0.7677812211321722
persona_25,1,0.8611772656440735,0.5730073011467922,0.0682634134883676,0.6954348910793184
persona_26,1,0.49251288501545787,0.4124115067056505,0.03746018290819137,0.422977201311789
persona_27,1,0.6009549871087074,0.4418131629185933,0.04182648464482933,0.4972995896052853
persona_28,1,0.814518928527832,0.5372443871060958,0.060266916246150756,0.655911364873143
persona_29,1,0.7963534593582153,0.5256119178688771,0.057438669697411904,0.6412395179453334
persona_30,1,0.8088093996047974,0.5334736154475842,0.05844767102494344,0.6511724914996481
persona_31,1,0.8358029723167419,0.5523565504686131,0.06382651840103547,0.6735714003707326
persona_32,1,0.510106566362083,0.4166931013479353,0.03730844737232363,0.4348027149588627
persona_33,1,0.5098638404160738,0.41663289757757055,0.038102439113372355,0.43471841743425266
persona_34,1,0.5174970477819443,0.4185416059726368,0.03843198599615744,0.4399039090605733
persona_35,1,0.5435015633702278,0.4252978516917242,0.03861125332802303,0.45755141886245626
persona_37,1,0.5183893032371998,0.41876686390414386,0.038167043128653905,0.4404803454264284
persona_38,1,0.43764735385775566,0.40003143557576315,0.03501943913912327,0.3860997869012947
persona_40,1,0.826368123292923,0.5454397264676283,0.06238731234590231,0.6656915231506324
persona_41,1,0.8814740180969238,0.5922233675264356,0.07361389156676917,0.7139128102727619
persona_42,1,0.8119674623012543,0.5355456891968032,0.06007859899871675,0.6538520440396651
persona_01,0,0.6356920450925827,0.4530712091198763,0.04405672666574456,0.521742262458087
persona_02,0,0.4864577390253544,0.4109751412845119,0.03765819966269893,0.4189330057668361
persona_03,0,0.6475551724433899,0.4571760178309704,0.04451437550921434,0.5301373463662465
persona_04,0,0.4590859077870846,0.40470473265661006,0.03604691775641819,0.40046765624487557
persona_05,0,0.6416859477758408,0.45512743268408223,0.04367562405381546,0.5259173608761106
persona_06,0,0.6059863120317459,0.44337830414593676,0.041744496495547734,0.5007797281123834
persona_07,0,0.611678957939148,0.44517488591097604,0.04229908322726721,0.5047897488595083
persona_08,0,0.6098003685474396,0.4445789649999997,0.04211902338828186,0.5034658129672919
persona_09,0,0.4972395896911621,0.4135457677881056,0.03728770043131115,0.42613625419426004
persona_10,0,0.5540674105286598,0.4281621461353179,0.040238992698946194,0.46491298942768583
persona_11,0,0.4690208397805691,0.40693971111897204,0.03631515040690107,0.4071259322447231
persona_12,0,0.6644274294376373,0.4632691163771049,0.04513949395772994,0.5421511419714868
persona_13,0,0.5797419473528862,0.43543650149949453,0.04086194410350911,0.48256231327193094
persona_14,0,0.5995216891169548,0.4413711124813366,0.040702262462548676,0.49619457346082874
persona_15,0,0.45773108676075935,0.4044034355988167,0.03591949573710849,0.39955163230981144
persona_16,0,0.517110301181674,0.4184441480652177,0.038396395650847716,0.4396390646936545
persona_17,0,0.591857336461544,0.4390353708216615,0.04097838264634026,0.49092285138805886
persona_18,0,0.5036827698349953,0.41511073691611405,0.03716191048771676,0.43045907402460304
